Country,Year,Spot_Price_72,Crude_oil_exports_52,Demand,Exports,Gas_Reserve,Imports,Production,Oil_demand_46,Oil_exports_dest_51,Refinery_capacity_41,Refinery_throughput_43,World_Production,ActiveRigs-table3.2,AccountBalance-table2.7,WellsCompleted-table3.3,Population-table2.1,petroleumExport-table2.5,GDP-table2.2,GDPGrowthRate-table2.3,ExportValue-table2.4,crudeOilReserve-table3.1,CrudeOilProdution-table3.5,bioFuelProdution-table3.7
Algeria,1983,29.9,260.4,"18,578","17,910","3,531",,"36,267",150,,471,378,"36,267","48,902","48,902","48,902","48,902","48,902","48,902","48,902","48,902","48,902","48,902","48,902"
Angola,1983,na,359.9,300,0,53,,300,37,,32,26,300,"5,788","5,788","5,788","5,788","5,788","5,788","5,788","5,788","5,788","5,788","5,788"
Congo,1983,na,93.3,0,0,70,,0,2,,21,8,0,"2,097","2,097","2,097","2,097","2,097","2,097","2,097","2,097","2,097","2,097","2,097"
Equatorial Guinea,1983,na,0,0,0,0,,0,0,,,,0,40,40,40,40,40,40,40,40,40,40,40
Gabon,1983,na,135.5,150,,12,,150,12,,25,18,150,"3,689","3,689","3,689","3,689","3,689","3,689","3,689","3,689","3,689","3,689","3,689"
IR Iran,1983,27.22,"1,718.70","8,779",0,"14,045",0,"11,000",695,,685,,"11,000","175,751","175,751","175,751","175,751","175,751","175,751","175,751","175,751","175,751","175,751","175,751"
Iraq,1983,28.43,702,470,,821,0,470,259,,361,315,470,"37,495","37,495","37,495","37,495","37,495","37,495","37,495","37,495","37,495","37,495","37,495"
Kuwait,1983,27.34,544.4,"3,512",,"1,036",0,"4,035",196,,564,490,"4,035","20,317","20,317","20,317","20,317","20,317","20,317","20,317","20,317","20,317","20,317","20,317"
Libya,1983,29.14,937.4,"3,172",770,640,,"3,710",129,,340,101,"3,710","30,170","30,170","30,170","30,170","30,170","30,170","30,170","30,170","30,170","30,170","30,170"
Nigeria,1983,29.9,935.2,"2,300",0,"1,370",,"2,298",193,,234,166,"2,298","36,508","36,508","36,508","36,508","36,508","36,508","36,508","36,508","36,508","36,508","36,508"
Saudi Arabia,1983,28.78,"3,920.80","11,838",,"3,544",,"4,380",835,,935,851,"4,380","119,010","119,010","119,010","119,010","119,010","119,010","119,010","119,010","119,010","119,010","119,010"
United Arab Emirates,1983,29.26,"1,077.30","5,154","2,410","3,049",0,"8,400",133,,180,110,"8,400","42,786","42,786","42,786","42,786","42,786","42,786","42,786","42,786","42,786","42,786","42,786"
Venezuela,1983,na,976.7,"16,313",,"1,562",0,"15,640",409,,"1,332",921,"15,640","79,672","79,672","79,672","79,672","79,672","79,672","79,672","79,672","79,672","79,672","79,672"
OPEC,1983,29.04,"11,661.60","70,566","21,090","29,734",0,"86,650","3,051",,,"3,989","86,650","602,226","602,226","602,226","602,226","602,226","602,226","602,226","602,226","602,226","602,226","602,226"
Algeria,1984,28.72,181.6,"19,258","18,910","3,442",,"35,039",166,,471,411,"35,039","52,983","52,983","52,983","52,983","52,983","52,983","52,983","52,983","52,983","52,983","52,983"
Angola,1984,na,366.4,340,0,55,,340,22,,32,28,340,"6,135","6,135","6,135","6,135","6,135","6,135","6,135","6,135","6,135","6,135","6,135"
Congo,1984,na,109.2,0,0,69,,0,2,,21,8,0,"2,194","2,194","2,194","2,194","2,194","2,194","2,194","2,194","2,194","2,194","2,194"
Equatorial Guinea,1984,na,0,0,0,0,,0,0,,,,0,44,44,44,44,44,44,44,44,44,44,44
Gabon,1984,na,139.5,150,,16,,70,11,,25,18,70,"3,547","3,547","3,547","3,547","3,547","3,547","3,547","3,547","3,547","3,547","3,547"
IR Iran,1984,26.18,"1,521.80","13,481",0,"14,016",0,"13,500",807,,615,,"13,500","182,220","182,220","182,220","182,220","182,220","182,220","182,220","182,220","182,220","182,220","182,220"
